row	university	program	project_url	course_url	highlight
3	Princeton University	无硕士			
4	Massachusetts Institute of Technology	无硕士			
5	Harvard University	无硕士			
6	Stanford University	MS in Electrical Engineering		https://ee.stanford.edu/admissions/ms/faq	专排NO.1
7	Yale University	MS in Electrical & Computer Engineering			基本不录取硕士；师生比例低于4:1
8	University of Chicago				
9	Duke University	Master of Science in Electrical & Computer Engineering			1.3种模式：course only/project/thesis 2.有助教和实习机会3.可以自己设置自己的课程4.Average: $115,975
10	Duke University	Master of Engineering (Meng) in Electrical & Computer Engineering			1.专业和商科领导力相结合，适合对行业领导力感兴趣的学生2.可以自己设置自己的课程安排
11	Johns Hopkins University	Master of Science in Engineering (MSE) degree in Electrical and Computer Engineering			涵盖大多数热门方向：AI/DS/CE/control等并且个别分支与生物结合（JHU生物医学强大）科研机会比较多
12	Johns Hopkins University	Robotics, Master of Science in Engineering			
13	Northwestern University	Master of Science in Electrical Engineering		https://www.mccormick.northwestern.edu/electrical-computer/academics/graduate/admissions/admissions-faq.html	网申中在电气工程或计算机工程两个学部的研究兴趣小组中选择你的研究领域。该项目的许多学生通过与教员一起在研究实验室工作，将独立研究作为学位的一部分。为了支持研究工作，本系为硕士生提供最先进的研究设备和一流大学提供的大量资源。
14	Northwestern University	Master of Science in Computer Engineering			与电气工程和计算科学都有很紧密的联系，目的是培养跨学科的计算机工程师；计算机工程的课程和研究包括计算机系统、计算机体系结构、移动系统、并行系统、并行处理、并行算法、硬件软件交互、VLSI设计、嵌入式系统、数值分析、系统仿真、机器人技术和大型系统。
15	Northwestern University	Master of Science in Robotics			
16	University of Pennsylvania	Master of Science in Engineering in Electrical Engineering		https://gradadm.seas.upenn.edu/faq/	最快1年毕业；电磁学、光子学、传感器和MEMS到VLSI和纳米技术都有涉及。
17	University of Pennsylvania	M.S. in Robotics (ROBO)		https://www.grasp.upenn.edu/academics/masters-degree-program/robotics-masters-faqs/	三个系合办：计算机与信息科学/电子与系统工程/机械工程与应用力学jointly sponsored by the Departments of Computer and Information Science, Electrical and Systems Engineering, and Mechanical Engineering and Applied Mechanics.
18	University of Pennsylvania	Master of Science in Engineering in Systems Engineering		https://gradadm.seas.upenn.edu/faq/	电气和系统工程交叉学科从信号处理、优化、仿真、控制和控制论到复杂的自适应系统、随机过程和决策科学。
19	California Institute of Technology	Master of Science degree in electrical engineering		https://www.gradoffice.caltech.edu/admissions/faq-applicants	1年即可完成硕士学位；甚至有机会继续攻读博士；鼓励弱势群体申请；全美第四工程学院
20	Cornell University	Ithaca Campus M.Eng. Program in Electrical and Computer Engineering		https://www.duffield.cornell.edu/meng/frequently-asked-questions-meng/	1年可修完/就业校友强大可以用专有的 Cornell Entrepreneur Network；毕业生平均工资101,302美金
ECE M.Eng. Graduates Average Salary/就业或者进修80%
21	Cornell University	只有PHD			
22	Cornell University	Cornell Tech M.Eng. Program in Electrical and Computer Engineering		https://tech.cornell.edu/admissions/admissions-faqs/	
23	Brown University	Master of Science (Sc.M.) degree in Electrical and Computer Engineering		https://engineering.brown.edu/graduate/admissions/frequently-asked-questions	三种硕士模式Thesis/Non-Thesis/Non-Thesis Professional Track；藤校；学院工程学科间没有明确界限，没有明确的“系”设置
24	Dartmouth College	Master of Science (MS) in engineering sciences
Electrical and Computer Engineering			藤校；工程学院没有“系”的设置，因为强调创新和全面的技术人才
25	Dartmouth College	MEng: Electrical/ Computer Engineering (On-Campus)			
26	Columbia University	Master of Science in Electrical Engineering		https://www.ee.columbia.edu/ee-ms-faq	1.夏天满足要求可以参加学校提供的校外实习并获得学分2.分支众多，除了EE研究方向都免额外申请开放给学生3.也可以选修部分工程学院的其他课程
27	Columbia University	Master of Science in Computer Engineering			和计算机学院联合办学；In addition to the EE MS Program, we offer the Computer Engineering MS Program jointly with the Computer Science Department.
28	University of California--Berkeley	Master of Engineering(M.Eng.) in EECS		https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/faq/	1.地理位置优越：加州，靠近硅谷高科技产业集中地，就业机会多 2. 综合排名#22, 工程学院排名#3 3. 课程不仅涵盖技术专业知识，还提供了有关工程领导力课程和面向团队的项目的课程。
29	University of California--Berkeley	M.S.in Electrical Engineering(EECS)		https://eecs.berkeley.edu/academics/graduate/faq-3/	1.地理位置优越：加州，靠近硅谷高科技产业集中地，就业机会多 2. 综合排名#22, 工程学院排名#3 3. 课程不仅涵盖技术专业知识，还提供了有关工程领导力课程和面向团队的项目的课程。
30	Rice University	Master of Electrical Engineering (M.E.E.)		https://eceweb.rice.edu/academics/graduate-programs/graduate-faqs	偏向就业的职业学位不需要论文即可毕业，该学位强调工程实践方面，结合管理和通信；毕业生就业 IBM, Facebook, Schlumberger, Oracle, Lockheed Martin, Intel, Dell, Intuit, HP, and Cyberonics.
31	University of California--Los Angeles	M.S. in Electrical and Computer Engineering		https://www.ee.ucla.edu/grad-admission-faq/	三种硕士模式：
M.S. Course-Based Plan/M.S. Project Option/M.S. Thesis Option；科研能力强大：Faculty Honors and Awards
National Academy of Engineering Members: 18
National Academy of Science Members: 3
Society Fellows: 49
NSF CAREER Awards: 18
Okawa Foundation Awards: 16
32	Vanderbilt University	Electrical Engineering(MS)		https://engineering.vanderbilt.edu/departments/electrical-computer-engineering/graduate-programs/	系里最大的是研究所是Software Integrated Systems and the Institute for Space and Defense Electronics；学生可选thesis/no-thesis；校友遍布National Instruments, Google, Microsoft, Apple, Boeing, Northrop Grumman, Schlumberger
